REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2018,298.866133366079
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2019,313.137206942245
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2020,328.089722868334
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2021,343.756239019301
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2022,360.170839755072
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2023,377.369246509217
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2024,398.24345046617
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2025,446.603215729963
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2026,467.396863895939
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2027,489.166775453474
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2028,489.166775453474
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2029,579.113337511503
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2030,598.527170926393
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2031,611.048926625493
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2032,611.048926625493
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2033,697.903549732218
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2034,735.735358088624
"Region1","S1D1B1","BIODSL_PROD_001",1,"BIO_OIL",2035,757.737773777378
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2020,36.9077898060907
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2021,37.2774430928074
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2022,57.0918449450008
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2024,66.8640485486784
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2025,54.7853594456184
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2026,172.944038807107
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2027,84.7462627154818
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2028,91.7127783631588
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2030,107.410920955508
"Region1","S1D1B1","COM_CWH_BIO_001",1,"BIO",2032,95.2422358384092
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2018,41.7896089808981
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2021,171.959725682568
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2022,171.959725682568
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2031,302.742634764517
"Region1","S1D1B1","COM_CWH_DSL_001",1,"DSL",2035,302.742634764517
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2030,9.96250800942713
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2031,18.1144088664278
"Region1","S1D1B1","COM_CWH_KER_001",1,"KER",2033,15.4108589569006
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2019,6.62183238855531
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2021,32.8296969805527
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2029,55.4370108870968
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2032,72.3368890992835
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2033,86.6077483442108
"Region1","S1D1B1","COM_CWH_LPG_001",1,"LPG",2034,93.7272863185883
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2018,15.1298380981976
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2019,22.259925472888
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2020,14.2568096609661
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2021,25.3279252339517
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2022,40.3563601885424
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2024,29.3326156615662
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2025,26.3026404350528
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2026,68.7067456345634
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2027,28.7499253480278
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2031,50.9936218721872
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2032,60.3951222131013
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2033,39.8146764576458
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2034,49.9806372157773
"Region1","S1D1B1","COM_CWH_NGS_001",1,"NGS_002",2035,88.1879078305277
"Region1","S1D1B1","COM_EL_APP_001",1,"ELC_002",2018,89.3908629441624
